epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
28,1539,0.02323,0.99818,1,0.00627,0.004654,0.004654,0.004654
29,3080.66,0.02765,0.99829,1,0.00601,0.004456,0.004456,0.004456
30,4637.24,0.02794,0.99824,1,0.00585,0.004258,0.004258,0.004258
31,6178.13,0.02681,0.99829,1,0.00564,0.00406,0.00406,0.00406
32,7720.03,0.0278,0.99835,1,0.00552,0.003862,0.003862,0.003862
33,9264.06,0.02697,0.99841,1,0.00537,0.003664,0.003664,0.003664
34,10802.1,0.02396,0.99846,1,0.00521,0.003466,0.003466,0.003466
35,12330.2,0.02318,0.99852,1,0.00511,0.003268,0.003268,0.003268
36,13835.8,0.02153,0.99869,1,0.00503,0.00307,0.00307,0.00307
37,15354.1,0.02165,0.99869,1,0.005,0.002872,0.002872,0.002872
38,16860.8,0.01711,0.99875,1,0.00489,0.002674,0.002674,0.002674
39,18362,0.01683,0.99875,1,0.00476,0.002476,0.002476,0.002476
40,19875,0.01642,0.9988,1,0.00466,0.002278,0.002278,0.002278
41,21420.1,0.01489,0.99886,1,0.00458,0.00208,0.00208,0.00208
42,22960.5,0.01479,0.99892,1,0.00453,0.001882,0.001882,0.001882
43,24503.5,0.01263,0.99892,1,0.00452,0.001684,0.001684,0.001684
44,26038.2,0.01081,0.99898,1,0.00443,0.001486,0.001486,0.001486
45,27565.9,0.00918,0.99898,1,0.00429,0.001288,0.001288,0.001288
46,29114,0.00874,0.99898,1,0.00418,0.00109,0.00109,0.00109
47,30667.8,0.00755,0.99898,1,0.00409,0.000892,0.000892,0.000892
48,32217.3,0.00723,0.99898,1,0.004,0.000694,0.000694,0.000694
49,33763,0.00591,0.99903,1,0.00389,0.000496,0.000496,0.000496
50,35300,0.00532,0.99915,1,0.00378,0.000298,0.000298,0.000298
