epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1508.15,1.58908,0.94821,0.99824,0.19167,0.00333257,0.00333257,0.00333257
2,3018.85,0.25687,0.98276,0.99977,0.05536,0.00653392,0.00653392,0.00653392
3,4577.81,0.19278,0.98509,0.99972,0.04916,0.00960327,0.00960327,0.00960327
4,6098.8,0.17719,0.98998,0.99989,0.02878,0.009406,0.009406,0.009406
5,7636.71,0.12768,0.99311,0.99994,0.02158,0.009208,0.009208,0.009208
6,9184.59,0.10853,0.99533,0.99989,0.0151,0.00901,0.00901,0.00901
7,10736.7,0.09509,0.99567,0.99989,0.01492,0.008812,0.008812,0.008812
8,12295.2,0.08717,0.99562,0.99994,0.01329,0.008614,0.008614,0.008614
9,13988.9,0.08976,0.99636,0.99994,0.01127,0.008416,0.008416,0.008416
10,15623.6,0.08273,0.99676,0.99994,0.01123,0.008218,0.008218,0.008218
11,17212.7,0.07982,0.99721,0.99994,0.00997,0.00802,0.00802,0.00802
12,18781.2,0.07645,0.99721,0.99989,0.00973,0.007822,0.007822,0.007822
13,20398.2,0.07577,0.99721,0.99994,0.00971,0.007624,0.007624,0.007624
14,22057.9,0.07412,0.9971,0.99994,0.00976,0.007426,0.007426,0.007426
15,23668.9,0.07301,0.9971,0.99994,0.00969,0.007228,0.007228,0.007228
16,25235.7,0.069,0.99727,0.99994,0.00957,0.00703,0.00703,0.00703
17,26788.4,0.06525,0.99704,0.99994,0.0094,0.006832,0.006832,0.006832
18,28353.1,0.0654,0.99687,0.99994,0.00931,0.006634,0.006634,0.006634
19,29912.1,0.06159,0.99715,0.99994,0.00906,0.006436,0.006436,0.006436
20,31431,0.05823,0.99733,0.99994,0.00877,0.006238,0.006238,0.006238
21,32991.2,0.05808,0.99744,0.99994,0.00861,0.00604,0.00604,0.00604
22,34588.4,0.05671,0.99744,0.99994,0.00852,0.005842,0.005842,0.005842
23,36204.6,0.05539,0.99755,0.99994,0.00845,0.005644,0.005644,0.005644
24,37836.6,0.05241,0.9975,0.99994,0.00832,0.005446,0.005446,0.005446
25,39463,0.05046,0.99755,0.99994,0.00819,0.005248,0.005248,0.005248
26,41094.3,0.0469,0.99767,0.99994,0.00803,0.00505,0.00505,0.00505
27,42723,0.04696,0.99755,0.99994,0.00803,0.004852,0.004852,0.004852
28,1545.87,0.02454,0.99772,0.99994,0.00761,0.004654,0.004654,0.004654
29,3107.35,0.02939,0.99767,0.99994,0.00727,0.004456,0.004456,0.004456
30,4663.18,0.02963,0.99784,0.99994,0.00704,0.004258,0.004258,0.004258
31,6227,0.02816,0.99801,0.99994,0.00687,0.00406,0.00406,0.00406
32,7790.67,0.02985,0.99807,0.99994,0.00672,0.003862,0.003862,0.003862
33,9366.32,0.02703,0.99807,0.99994,0.00651,0.003664,0.003664,0.003664
34,10943.2,0.02625,0.99807,0.99994,0.00637,0.003466,0.003466,0.003466
35,12526.9,0.02364,0.99812,0.99994,0.00624,0.003268,0.003268,0.003268
36,14121.8,0.02228,0.99812,0.99994,0.00613,0.00307,0.00307,0.00307
37,15703.9,0.02174,0.99818,0.99994,0.00603,0.002872,0.002872,0.002872
38,17284.5,0.01894,0.99829,0.99994,0.00594,0.002674,0.002674,0.002674
39,18861.3,0.01953,0.99835,0.99994,0.00586,0.002476,0.002476,0.002476
40,20448.7,0.01767,0.99835,0.99994,0.00581,0.002278,0.002278,0.002278
41,22019.5,0.01916,0.99846,0.99994,0.00572,0.00208,0.00208,0.00208
42,23605.4,0.01599,0.99846,0.99994,0.00562,0.001882,0.001882,0.001882
43,25193,0.01484,0.99852,0.99994,0.00551,0.001684,0.001684,0.001684
44,26776.9,0.01355,0.99852,0.99994,0.00544,0.001486,0.001486,0.001486
45,28376.6,0.01165,0.99858,0.99994,0.00533,0.001288,0.001288,0.001288
46,29962.2,0.01107,0.99852,0.99994,0.00523,0.00109,0.00109,0.00109
47,31561.3,0.00873,0.99852,0.99994,0.00512,0.000892,0.000892,0.000892
48,33124.9,0.00898,0.99852,0.99994,0.00501,0.000694,0.000694,0.000694
49,34701.9,0.00784,0.99852,0.99994,0.00491,0.000496,0.000496,0.000496
50,36275.7,0.00641,0.99852,0.99994,0.00477,0.000298,0.000298,0.000298
